company_name,job_name,job_type,job_pay,ft_pt,job_location,subject,job_tools,job_content,another_require
Qualcomm Semiconductor Corporation_高通半導體有限公司,"Computer Vision Engineer-Camera System, Senior to Staff (Taipei)(3048149)",電子產品系統工程師、通訊軟體工程師、軟體設計工程師,待遇面議 （經常性薪資達 4 萬元或以上）,全職,台北市內湖區,不拘,不拘,"Please apply via www.qualcomm.com/careers and refer to req. number 【3048149】
====================================================
We seek a passionate engineer with focus in Image Quality Evaluation to join the Camera Systems team.
The Camera Systems team creates embedded imaging solutions for Snapdragon chipsets that power advanced mobile devices. Our solutions leverage dedicated hardware, multi-core processors, DSP, and GPU cores to provide state-of-the-art photographs, video recordings, as we.....詳情請見網站",未填寫
神來也麻將_慧邦科技股份有限公司,RD 網頁/PHP工程師【歡迎應屆畢業生】 03/01更新,電玩程式設計師、Internet程式設計師、軟體設計工程師,待遇面議 （經常性薪資達 4 萬元或以上）,全職,台北市中正區羅斯福路二段100號10樓 (距捷運古亭站約50公尺),資訊工程相關、資訊管理相關、其他數學及電算機科學相關,PHP、MySQL、JavaScript、jQuery,"開發web/手機遊戲
－ 遊戲功能開發
－ 活動開發及官網維護
－ 資料庫操作及數據處理

【應徵條件】
－ 熟悉 PHP/JavaScript/C/Java/Python 任一皆可
－ 熟悉 任一SQL

★想要更加了解慧邦科技嗎？歡迎到gamesofa careers看看！
https://www.facebook.com/GamesofaCareers/","【加分項目】
 － 對遊戲產業有興趣
 － 平時積極學習程式語言及了解科技新知
 － 喜愛寫程式、認真負責、重視團隊合作精神

2023fresh"
工研院 _財團法人工業技術研究院,工研院資訊處_資訊系統開發工程師(F2) 03/01更新,軟體設計工程師、系統分析師、Internet程式設計師,待遇面議 （經常性薪資達 4 萬元或以上）,全職,新竹縣竹東鎮中興路四段195號,數學及電算機科學學科類、資訊工程相關、工業工程相關,不拘,"1.洽案、審約、簽約與執行等大型的計畫管理資訊系統的開發與維運為主
2.可運用機器學習技術，進行資料蒐集、整備與分析，規劃與建置資料分析平台尤佳。
3.可洞察計畫管理等相關業務、知識粹取，建置智能預測模型，以利計畫管理決策尤佳。","1.資工、資管、資科、工工、工管、應用數學等相關資訊系所畢業。
2.具1-3年專業工作經驗。
3.具備計畫管理系統設計、系統規格撰寫、實作、維運工作等經驗尤佳。
4.熟悉MS SQL DB，以及具MS.Net, MS .Net core ,Java, C#, SQL, Python 等二種以上程式語言經驗。
5.對 MVC Model, Mobile APP等有熱忱或具開發工作經驗尤佳。
6.對非結構化數據蒐集、資料清理或分析等機器學習技能有熱忱或具相關工作經驗尤佳。
7.請檢附相當於TOEIC 650分之英語成績證明，如無法提供，將安排參加本院英文檢測。

2023fresh"
博凡星國際有限公司,Python工程師 03/02更新,Internet程式設計師、軟韌體測試工程師、軟體設計工程師,待遇面議 （經常性薪資達 4 萬元或以上）,全職,台中市西屯區潮洋里市政北二路238號15樓之1,不拘,Linux、Python、MySQL,"工作內容：
1.集成系統開發與維護
2.串接第三方服務
3.客製化系統開發

基本要求：
-對開發與技術學習有熱忱，且願意不斷挑戰自我
-熟悉Redis、Mongodb
-具Web服務(WCF服務/SOAP/Web API)等開發與串接經驗，並具備良好物件導向程式設計能力，及解決問題能力
-熟悉git版控，並有多人協作經驗

加分項：
※具一年以上的Python開發實務經驗
※熟悉遊戲第三方串接相關經驗
※有使用過RabbitMQ
※精通NoSQL或任一資料庫
※有高併發、高可用、分散式服務開發經驗者為佳
※熟悉並能靈活運用設計模式優化專案架構
※具大型網站或後端系統架構規劃與設計開發經驗、資料庫規劃能力
※熟悉部署流程，CI/CD建置
※熟悉Docker相關技術
※建置過開發SOP文件、規範、流程""",未填寫
雄獅資訊科技股份有限公司,python工程師 03/01更新,軟體設計工程師、Internet程式設計師,待遇面議 （經常性薪資達 4 萬元或以上）,全職,台北市內湖區石潭路151號,不拘,Github、Python、MS SQL,"工作內容：
1. 負責公司之 Data Science API維護和新功能開發, 協助產品成效優化及發展方向
2. 負責資料收集、資料清理、模型建置等工作事項
3. 商品推薦系統建置及優化
4. 系統測試代碼實現，自動化測試
5. 參與.討論.協助專案架構設計

職務需求：
1.熟悉 Flask 框架
2.熟悉 Git 開發管理專案
3.熟悉 SQL 及 MongoDB 資料庫
4.熟悉 ML 相關知識
5.熟悉Python程式語言，包含Pandas, Numpy, Sklearn,Tensorflow, Pytorch等模組","加分條件:
1. 附上 github 作品佳
2. 有 Elasticsearch 使用經驗
3. 有 Docker, Docker-Compose 使用經驗者佳"
三弦科技有限公司,python工程師 03/04更新,軟體設計工程師,"月薪40,000元以上 （固定或變動薪資因個人資歷或績效而異）",全職,新北市新莊區新樹路607-1號7樓,資訊工程相關,Android、iOS、Github、Git、Python,"【公司介紹】
首都高資訊是一家專業從事軟體開發、測試和技術支援的公司，致力於提供最佳的軟體解決方案，以幫助客戶增強效率並降低成本。首都高資訊擁有一支專業、高效、有經驗的團隊，能夠快速理解客戶需求，並提供優質的軟體開發、測試和技術支援服務。我們一直致力於技術創新和持續學習，不斷研究和應用最新的技術和工具，以提高我們的服務品質和效率。

【工作內容】
與前端工程師協作，完成項目開發。
獨立開發及維護程式碼，並快速修復問題。
確保系統穩定運行並持續改進使用體驗。
維護相關程式碼，確保系統穩定運行。

【工作技能】
熟悉Python及相關技術。
熟悉Mysql。
能夠熟練地傳接API（例如：POST、GET等）。
能夠自主學習新技術。
良好的溝通和適時發問能力。
會使用基本的git版本控制。
如具有Android/iOS開發經驗，將優先考慮錄用。
如具有Linux操作經驗者，將優先考慮錄用。

【工作環境】
首都高資訊提供舒適的工作環境，包括高效率的電腦設備，並重視夥伴的通勤安全，提供彈性的上下班時間，以幫助夥伴安排家庭生活。

首都高資訊還提供領先技術的AI協助，以提高工程師的效率和準確性。.....詳情請見網站","歡迎有誠意有熱情的新鮮人或轉職者，一起加入我們的行列。
欲應徵者可寄履歷至E-mail或Line聯絡我們，有相關問題也可以站內信詢問。"
鈦度科技有限公司,python工程師 03/05更新,軟體設計工程師、Internet程式設計師,"年薪780,000~1,000,000元 （固定或變動薪資因個人資歷或績效而異）",全職,台北市內湖區堤頂大道二段15號8樓,不拘,不拘,"1. 開發網站(如Django framework) 
2. 系統串連，如以ORM連結Relational Database (POSTgrres SQL) 或Haystack 連結 SolrCloud
3. 需熟悉OOP及MVC觀念及運用。 
4.  開發Restful API。 
5. 熟悉版本控制及Unit Testing技術。","1.扎實的撰寫程式碼基礎，熟悉常用數據結構、演算法及設計模式，具備較強的邏輯思維能力和良好程式編寫習慣。 
2.責任感強, 具敏捷思維，有創新意識，良好的學習能力與問題分析能力。
完成「2022數位通才超速養成」課程並取得VUE認證可獲得優先面試機會。"
雙子數位科技有限公司,Python工程師 03/01更新,系統維護／操作人員、Internet程式設計師、軟體設計工程師,待遇面議 （經常性薪資達 4 萬元或以上）,全職,台北市內湖區,不拘,C++、Python、JavaScript,"嗨～～哈囉～

你是本公司要找的後端工程師高手嗎?
就是你！別懷疑！！徵的就是你～
本公司需要有在Python數據分析 實務上2-3年以上開發經驗的你唷～

此職缺的職務內容有：

• 負責各營運產品的模型運用、調整、流程優化
• 開發新專案的原型系統，並將此研究專案落地到實際產品
• 負責Machine learning API 開發及其後端資料庫、Search Engine/即時排序系統開發。
• 能夠獨立解決線上產品發生的問題，並提供合適的解決方案。
• 對產品持續進行架構、資料與流程面的優化。
• 不斷研究與嘗試新的解決方案，包含框架、資料庫、使用技術與 CI/CD 工具。

此職缺的必備技能：

1. 具備機器學習專案兩年以上經驗，並參與過run-time system的設計過程
2. 熟悉常用數據結構及基礎算法
3. Tensorflow/Pytorch/Spark ML中至少熟悉一種開源深度學習架構，熟悉其底層和實現方式
4. 熟悉大規模分佈式學習，並對於Hadoop/Spark有實務經驗
5. 使用過 Spark 。
6. 有與資料科學家合作經驗
7. 使用過Elast.....詳情請見網站",未填寫
明潤電腦有限公司,Python 工程師 03/01更新,演算法開發工程師、軟體設計工程師、Internet程式設計師,待遇面議 （經常性薪資達 4 萬元或以上）,全職,台中市西屯區台灣大道二段633號,不拘,Python,"1. 熟悉 Python 程式語言、有物件導向開發概念
2. 熟悉爬蟲套件，例如 Selenium、BeautifulSoup、Scrapy 等
3. 熟悉 Git版本管理
4. 熟练並掌握常用的設計模式
5. 熟练常用的異步編程手段 coroutin/asyncio/callback
6. 具備 Docker 使用經驗
7. 對編程有極大的熱情，推崇簡潔清晰的編碼風格，能努力不停晉升自己的編程能力。",另有C# ASP.NET 開發經驗尤佳
BigGo_樂方股份有限公司,Python工程師 03/02更新,軟體設計工程師、Internet程式設計師、軟體專案主管,"月薪35,000~65,000元 （固定或變動薪資因個人資歷或績效而異）",全職,高雄市鼓山區中華一路828號13樓,不拘,Linux、PHP、Python、Go、MySQL、AWS、HTML、JavaScript,"BigGo - Python 程式設計師 高雄 / Work From Home

BigGo是全球第一間跨境的商品搜尋引擎，是台灣跟東南亞最大的比價服務網站。我們正在為全球市場招募Python 工程師。
BigGo 用了數十種不同的程式語言再各種地方，但是最重要的就是 Python。
Python 是我們縮短開發時間最佳利器，也是我們之所以能夠快速開發的祕密武器。

Python 是我們日常生活的一環。

職務需求：
Python 程式設計

加分項目：
KeyValue DB / 網路程式設計 / HTTP協定
Golang / PHP / Lua
AWS / GCP
JavaScript

請注意，此職務的重點在系統程式。工作內容中有大量 HTTP / Service Deamon 的實做。不建議短期密集的培訓者應徵。",2022YBKCGPLAN
